Title,Price,Price Per,Image URL
Rubicon Spring Strawberry Kiwi Water 1.5L,€2.19,€1.46/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/5e1f7a8e-0994-473c-9dbe-f41575781eb0/b721a4fd-6a5d-4634-864c-6e62684c2990_978724969.jpeg?h=225&w=225
Evian Sparkling Natural Mineral Water Can 330ml,€1.25,€3.79/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/09f8db37-b0ae-44b5-be2f-c2ff92857a59/c4ab7d13-b552-4901-b99e-6722d994ac21_490352135.jpeg?h=225&w=225
Rubicon Spring Orange Mango 1.5L,€2.19,€1.46/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/54797074-5a70-4051-8795-74d61f39449c/f584bfb8-71ee-4798-b4a1-ee90e66b2b49_933203808.jpeg?h=225&w=225
Activit Lemon Lime & Orange Sparkling Water 4 X 330Ml,€5.00,€3.79/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/8b79617a-5f0b-4e09-bcb2-680abc93abe3/f5456c72-7394-42ba-8366-a129fc22a81f_300296655.jpeg?h=225&w=225
Ballygowan Sparkling Water 500 M,€1.19,€2.38/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/12611d6c-578e-49dc-b904-dfbec3e8da60/2d9e7d25-64c8-4dc8-bb0a-ae29cb4fe3c4_803917670.jpeg?h=225&w=225
Evian Sparkling Natural Bottled Mineral Water 1L,€2.50,€2.50/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/d7a5d244-389f-46d5-bbb0-d01fa54562d6/8c38b3f1-2b22-410c-a6bb-d33579bd1bc4_498317778.jpeg?h=225&w=225
Deep Riverrock Still 4X750ml,€4.65,€1.55/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/aad6d8e4-8e98-4b9b-8571-ac6ccc1db3d7/d4740374-0fd4-4378-983d-f570c7dda700_1170958275.jpeg?h=225&w=225
Evian Natural Bottled Mineral Still Water 750ml,€2.00,€2.67/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/f671916c-1f5b-4067-a336-3e25f0c763f0/c5bf68a1-652e-4d73-9d0a-d360ff58d0be_739622353.jpeg?h=225&w=225
Deep River Rock 750Ml Sports Cap,€1.70,€2.27/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/ba59b31f-9e09-4f6c-a646-44af1549ced6/3534ee0f-17a7-4fdb-9791-54b7b2763f0f_167604072.jpeg?h=225&w=225
Volvic Tof Lemon And Lime Sugar Free 75Cl,€1.90,€25.33/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/f17d0929-0ebc-4c7d-8499-38f9f1274d46/a429721d-70c8-4b4e-8db0-ee580062ca45_1152597695.jpeg?h=225&w=225
Ballygowan Mango And Passion Fruit Spring Water 750Ml,€1.99,€2.65/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/2b589e2e-9e12-4501-8ab7-23ec43d7f6ad/3d96dfb6-c450-44b1-aca8-12499d14fcd6_1399781013.jpeg?h=225&w=225
Activit Drink Blackcurrant Apple & Raspberry 4X330ml,€5.00,€3.79/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/bc253151-af40-48bf-a7a2-67cab417eba6/dfef31ab-98ca-47e6-b3c5-2e18c7667db8_1834974590.jpeg?h=225&w=225
Ballygowan Still Natural Mineral Water 500Ml,€1.19,€2.38/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/0d60725c-5b6f-493a-9f19-72ba807cbc34/6bf86939-5c45-4efd-b429-2967dfa8b191_830034007.jpeg?h=225&w=225
Ballygowan Strawberry Spring Water 750Ml,€1.99,€2.65/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/94a51a49-f239-4a99-8e80-9271ec69726e/2f679731-f958-4b2f-97da-a76cae4fea20_1835226074.jpeg?h=225&w=225
Ballygowan Sports Water 750 Ml,€1.70,€2.27/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/702b909a-2369-4da8-857b-5ff0b0d17fe8/4513f9c1-644e-4484-be3f-863c837a7d76_1365160423.jpeg?h=225&w=225
Ballygowan Summer Fruits Spring Water 750Ml,€1.99,€2.65/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/56acbc3a-e5ea-4061-a37d-f7a0cbf5876d/7df4c770-8c41-4873-84a1-e3648e544456_1058991568.jpeg?h=225&w=225
Volvic Touch Of Fruit Mango & Passion Sugar Free Water 750Ml,€1.90,€2.53/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/caf6693a-b7f9-48a1-afab-81cb16067bea/4b28a22e-cd43-4c71-b669-76c981c68219_1227754236.jpeg?h=225&w=225
Deep River Rock Vital+ Vitamin Water And Juice Pear 450Ml,€2.05,€4.56/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/a6727933-ffc9-4994-a71c-4ca3390730a3/b96ca97e-20b2-4bac-a787-91dd4cc9ac68_836823833.jpeg?h=225&w=225
Deep River Rock Still Water 500 M,€1.10,€2.20/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/e8e0649d-0c79-42b4-a06b-3a2b5eb94e4c/95b19725-70d9-40c2-9004-c9b45dc54d3b_685585431.jpeg?h=225&w=225
Deep River Rock Sparkling Water 500 M,€1.10,€2.20/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/3a1e821d-34a4-4381-921c-1c8c32f77b48/d2619d89-50e0-46e5-ad6e-15c9bb064c77_1757436362.jpeg?h=225&w=225
Volvic Touch Of Fruit Lemon And Lime Sugar Free 500Ml,€1.70,€3.40/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/f0216fa6-9ee5-4194-8dd1-59d2b887b3ac/674812d4-485e-4826-84ba-a00734183553_1479979915.jpeg?h=225&w=225
Evian Natural Bottled Mineral Still Water 500ml,€1.25,€2.50/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/f461674b-b4a7-446a-8e48-ce0b74941aed/b194aa71-3074-4eab-b9d4-2332e14c9c3a_413079627.jpeg?h=225&w=225
Volvic Tof Strawberry Sugar Free 75Cl,€1.90,€2.53/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/414ffd49-0754-44f5-8081-43331f2a2bae/a78f82f7-6e68-4570-8f0b-d0d809ee93df_1524220485.jpeg?h=225&w=225
Volvic Still Mineral Water 500Ml,€1.10,€2.20/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/4190bff1-3eb9-4880-b614-c2639db5bd44/aa084357-bbb8-415a-87df-775fae4c1c76_1495444704.jpeg?h=225&w=225
Volvic Touch Of Fruit Strawberry Sugar Free 500Ml,€1.70,€3.40/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/0c0cc258-db98-4caa-b2da-d18f6486938c/cebca0b2-1a4b-445f-b030-0221c2dde9a4_1915255981.jpeg?h=225&w=225
